gamma(0.35),Birth,Death,diff,feature
600,0.394823939,0.394833684,9.75E-06,0
,0.40278998,0.403069884,0.000279903,0
,0.379368812,0.379873782,0.000504971,0
,0.163303316,0.164628282,0.001324967,0
,0.250282139,0.255930692,0.005648553,0
,0.174843162,0.180587113,0.005743951,0
,0.158972621,0.170930669,0.011958048,0
,0.379365325,0.404108912,0.024743587,0
,0.358860672,0.431952149,0.073091477,0
,0.225409314,0.382562041,0.157152727,0
,0.156376451,0.339036644,0.182660192,0
,0.088474773,0.483712822,0.395238049,1
,0.07665132,0.563433051,0.486781731,1
,0.200025409,0.86289674,0.662871331,1
500,0.394823939,0.394833684,9.75E-06,0
,0.40278998,0.403069884,0.000279903,0
,0.379368812,0.379873782,0.000504971,0
,0.166415647,0.167054936,0.00063929,0
,0.400633812,0.401687145,0.001053333,0
,0.250282139,0.255930692,0.005648553,0
,0.174843162,0.180587113,0.005743951,0
,0.158972621,0.170930669,0.011958048,0
,0.379365325,0.404247493,0.024882168,0
,0.358860672,0.431995243,0.073134571,0
,0.225409314,0.382562041,0.157152727,0
,0.156376451,0.339036644,0.182660192,0
,0.097860679,0.485761672,0.387900993,1
,0.104841731,0.56532836,0.460486628,1
,0.200025409,0.86289674,0.662871331,1
450,0.360460937,0.360738128,0.000277191,0
,0.379368812,0.379873782,0.000504971,0
,0.166415647,0.167054936,0.00063929,0
,0.400633812,0.401687145,0.001053333,0
,0.253601044,0.261406898,0.007805854,0
,0.174843162,0.182872444,0.008029282,0
,0.158972621,0.170930669,0.011958048,0
,0.379365325,0.406798452,0.027433127,0
,0.358860672,0.434042722,0.07518205,0
,0.307099819,0.398550361,0.091450542,0
,0.156376451,0.339036644,0.182660192,0
,0.103489809,0.485761672,0.382271864,1
,0.082265921,0.565212488,0.482946567,1
,0.226081103,0.86289674,0.636815637,1
400,0.386064947,0.386210293,0.000145346,0
,0.40278998,0.403146297,0.000356317,0
,0.265767187,0.266618699,0.000851512,0
,0.379977345,0.38111496,0.001137614,0
,0.397416174,0.400535494,0.00311932,0
,0.183733597,0.186976179,0.003242582,0
,0.187933639,0.19574593,0.007812291,0
,0.379368812,0.404951215,0.025582403,0
,0.358860672,0.433856457,0.074995786,0
,0.229611427,0.383405298,0.153793871,0
,0.179291323,0.340805322,0.161513999,0
,0.136426449,0.483712822,0.347286373,1
,0.082265921,0.565212488,0.482946567,1
,0.261115521,0.86289674,0.601781219,1
350,0.40278998,0.403069884,0.000279903,0
,0.401244223,0.401665151,0.000420928,0
,0.383822381,0.384283543,0.000461161,0
,0.394823939,0.3955746,0.000750661,0
,0.38333872,0.384700388,0.001361668,0
,0.363215715,0.365631491,0.002415776,0
,0.253603756,0.261938125,0.008334368,0
,0.379708678,0.404247493,0.024538815,0
,0.361282974,0.431952149,0.070669174,0
,0.184944659,0.348765284,0.163820624,0
,0.227080643,0.391511202,0.164430559,0
,0.1068753,0.483712822,0.376837522,1
,0.100153282,0.563433051,0.463279769,1
,0.223643303,0.864017785,0.640374482,1
300,0.360460937,0.360738128,0.000277191,0
,0.383606344,0.384064406,0.000458062,0
,0.384672999,0.385466248,0.000793248,0
,0.400633812,0.404141843,0.003508031,0
,0.381464183,0.405116677,0.023652494,0
,0.184290692,0.226550683,0.042259991,0
,0.358860672,0.438925713,0.080065042,0
,0.226713479,0.392580837,0.165867358,0
,0.174843162,0.341469407,0.166626245,0
,0.157063976,0.490638942,0.333574966,1
,0.183805183,0.565352499,0.381547317,1
,0.212039605,0.864017785,0.65197818,1
250,0.40278998,0.403069884,0.000279903,0
,0.408731222,0.41019246,0.001461238,0
,0.382382244,0.384700388,0.002318144,0
,0.401244223,0.404108912,0.002864689,0
,0.361183167,0.366557509,0.005374342,0
,0.381755024,0.41684255,0.035087526,0
,0.359999329,0.434062183,0.074062854,0
,0.182886541,0.348537058,0.165650517,0
,0.199248806,0.506604135,0.307355329,1
,0.124414884,0.565352499,0.440937616,1
,0.227772459,0.865148425,0.637375966,1
200,0.164005235,0.164628282,0.000623047,0
,0.403064936,0.403704256,0.000639319,0
,0.387157917,0.388657272,0.001499355,0
,0.280235529,0.282762825,0.002527297,0
,0.361183167,0.367324173,0.006141007,0
,0.397416174,0.4106251,0.013208926,0
,0.379708678,0.412001789,0.032293111,0
,0.361093521,0.433119386,0.072025865,0
,0.18580322,0.341945529,0.156142309,0
,0.158615708,0.48622328,0.327607572,1
,0.166248977,0.584545255,0.418296278,1
,0.295294851,0.865147531,0.56985268,1
100,0.40278998,0.403069884,0.000279903,0
,0.401752859,0.408829987,0.007077128,0
,0.326848954,0.349071294,0.02222234,0
,0.38333872,0.412655503,0.029316783,0
,0.361617655,0.439439654,0.077822,0
,0.351350933,0.506540477,0.155189544,1
,0.201890171,0.572444022,0.370553851,1
,0.444398552,0.881050229,0.436651677,1
