,gamma,Noise score
0,0.35,13
1,0.351,13
2,0.352,10
3,0.353,12
4,0.354,10
5,0.355,8
6,0.356,10
7,0.357,10
8,0.358,9
9,0.359,12
10,0.36,14
11,0.361,15
12,0.362,16
13,0.363,22
14,0.364,21
15,0.365,21
16,0.366,27
17,0.367,24
18,0.368,27
19,0.369,27
20,0.37,29
21,0.371,28
22,0.372,26
23,0.373,30
24,0.374,33
25,0.375,26
26,0.376,21
27,0.377,33
28,0.378,40
29,0.379,28
30,0.38,24
31,0.381,69
32,0.382,74
33,0.383,62
34,0.384,54
35,0.385,77
36,0.386,90
37,0.387,82
38,0.388,60
39,0.389,82
40,0.39,87
41,0.391,77
42,0.392,90
43,0.393,73
44,0.394,97
45,0.395,108
46,0.396,80
47,0.397,71
48,0.398,64
49,0.399,83
50,0.4,95
51,0.401,78
52,0.402,69
53,0.403,92
54,0.404,69
55,0.405,77
56,0.406,59
57,0.40700000000000003,81
58,0.40800000000000003,82
59,0.40900000000000003,88
