Rho(0.154),lifetime,feature
600,0.000148296,0
,0.000236034,0
,0.00097084,0
,0.001183987,0
,0.00148654,0
,0.002243996,0
,0.002281189,0
,0.003653288,0
,0.004073024,0
,0.005261183,0
,0.00545311,0
,0.011292458,0
,0.011450708,0
,0.012761831,0
,0.013801336,0
,0.013878107,0
,0.014060616,0
,0.019784451,0
,0.0198493,0
,0.020863652,0
,0.023733854,0
,0.024182558,0
,0.026434064,0
,0.027800322,0
,0.030962467,0
,0.031424522,0
,0.032719135,0
,0.038587809,0
,0.044450521,0
,0.047927618,0
,0.049996376,0
,0.053846478,0
,0.053874731,0
,0.055809736,0
,0.062738895,0
,0.06342411,0
,0.068997622,0
,0.080178261,0
,0.081107616,0
,0.093839884,0
,0.112088203,0
,0.127367735,0
,0.150156498,0
,0.150625706,0
,0.178928435,0
,0.182411671,0
,0.237291455,0
,0.243932724,0
,7.011475325,1
,16.69426703,1
500,0.000101566,0
,0.000236034,0
,0.00097084,0
,0.001183987,0
,0.001895428,0
,0.002243996,0
,0.002281189,0
,0.002346039,0
,0.003653288,0
,0.004073024,0
,0.005261183,0
,0.00545311,0
,0.010696292,0
,0.013010979,0
,0.013801336,0
,0.014060616,0
,0.014269114,0
,0.016805887,0
,0.023733854,0
,0.027800322,0
,0.029340029,0
,0.030962467,0
,0.032719135,0
,0.044450521,0
,0.045532346,0
,0.049996376,0
,0.053846478,0
,0.06195128,0
,0.062738895,0
,0.06342411,0
,0.068997622,0
,0.080178261,0
,0.098280668,0
,0.103850245,0
,0.105242491,0
,0.109977245,0
,0.112088203,0
,0.120617032,0
,0.127367735,0
,0.129868984,0
,0.150625706,0
,0.158261776,0
,0.182411671,0
,0.237291455,0
,0.243932724,0
,6.901987553,1
,16.50807953,1
400,0.001563549,0
,0.002281189,0
,0.00545311,0
,0.01020813,0
,0.014060616,0
,0.016002655,0
,0.0198493,0
,0.024261713,0
,0.026434064,0
,0.027800322,0
,0.030177355,0
,0.030962467,0
,0.031771898,0
,0.043646336,0
,0.047738314,0
,0.050129414,0
,0.050525665,0
,0.053621769,0
,0.059116364,0
,0.065750122,0
,0.073526263,0
,0.081107616,0
,0.087191463,0
,0.094661474,0
,0.095423222,0
,0.103850245,0
,0.127367735,0
,0.150625706,0
,0.182411671,0
,0.195939779,0
,0.196490645,0
,0.208717108,0
,0.233945727,0
,0.243932724,0
,0.25011456,0
,5.978661776,1
,16.53686333,1
300,0.008384943,0
,0.024182558,0
,0.026434064,0
,0.028231621,0
,0.032995939,0
,0.034189224,0
,0.040977955,0
,0.052971601,0
,0.064665318,0
,0.06927228,0
,0.074603796,0
,0.088412881,0
,0.094748974,0
,0.102456093,0
,0.112088203,0
,0.115451813,0
,0.149699092,0
,0.159542084,0
,0.167333603,0
,0.196231127,0
,0.219365597,0
,0.23642242,0
,0.482829571,0
,5.036599636,1
,16.73905349,1
200,0.009537339,0
,0.018639088,0
,0.030296087,0
,0.037769616,0
,0.042152643,0
,0.043562412,0
,0.043824673,0
,0.04421854,0
,0.050741196,0
,0.053390503,0
,0.082628727,0
,0.092512965,0
,0.095131874,0
,0.152381182,0
,0.156381607,0
,0.171976089,0
,0.231844008,0
,0.3402915,0
,0.545837402,0
,3.701471329,1
,16.26769543,1
