,Rho,Noise score
0,0.11,123
1,0.111,115
2,0.112,131
3,0.113,121
4,0.114,130
5,0.115,125
6,0.116,137
7,0.117,102
8,0.118,107
9,0.119,97
10,0.12,96
11,0.121,91
12,0.122,73
13,0.123,64
14,0.124,48
15,0.125,62
16,0.126,51
17,0.127,13
18,0.128,4
19,0.129,4
20,0.13,5
21,0.131,4
22,0.132,9
23,0.133,5
24,0.134,6
25,0.135,9
26,0.136,5
27,0.137,10
28,0.138,10
29,0.139,8
30,0.14,9
31,0.141,13
32,0.142,16
33,0.143,16
34,0.144,13
35,0.145,9
36,0.146,23
37,0.147,19
38,0.148,25
39,0.149,22
40,0.15,29
41,0.151,33
42,0.152,36
43,0.153,41
44,0.154,48
