,Sample_size,birth,death,diff
16,500,9.090909957885742,9.093363761901855,0.0024538040161132812
13,500,9.24541187286377,9.247905731201172,0.0024938583374023438
19,500,8.516286849975586,8.526029586791992,0.00974273681640625
7,500,9.453588485717772,9.463506698608398,0.009918212890626776
10,500,9.303014755249023,9.31330108642578,0.010286331176756036
1,500,9.688340187072754,9.703431129455566,0.0150909423828125
9,500,9.322490692138672,9.347563743591309,0.02507305145263672
11,500,9.287878036499023,9.314449310302734,0.026571273803710938
21,500,8.443704605102539,8.470480918884277,0.02677631378173828
23,500,8.390202522277832,8.417363166809082,0.02716064453125
25,500,8.369721412658691,8.407649040222168,0.03792762756347656
17,500,9.012103080749512,9.054821014404297,0.042717933654785156
6,500,9.507954597473145,9.561700820922852,0.05374622344970703
28,500,2.3346469402313232,2.394667387008667,0.06002044677734375
41,500,1.3064682483673096,1.367788791656494,0.06132054328918435
37,500,1.4484515190124512,1.523585081100464,0.07513356208801292
40,500,1.35357666015625,1.4490952491760254,0.09551858901977539
14,500,9.231407165527344,9.337505340576172,0.10609817504882812
8,500,9.363447189331056,9.474315643310549,0.11086845397949219
22,500,8.410038948059082,8.53366470336914,0.1236257553100586
43,500,0.8060224056243896,0.9314975142478944,0.12547510862350475
34,500,1.6141732931137085,1.7420077323913574,0.12783443927764893
3,500,9.635210990905762,9.764994621276855,0.12978363037109375
36,500,1.517383337020874,1.6473203897476196,0.1299370527267456
39,500,1.3594791889190674,1.5241707563400269,0.16469156742095947
24,500,8.383572578430176,8.54846477508545,0.16489219665527344
42,500,1.0162674188613892,1.1980913877487185,0.18182396888732932
12,500,9.261834144592283,9.456944465637209,0.19511032104492543
2,500,9.640355110168455,9.85764503479004,0.21728992462158558
38,500,1.3625932931900024,1.6055837869644165,0.24299049377441406
30,500,2.0416460037231445,2.2947335243225098,0.25308752059936523
5,500,9.616878509521484,9.881114959716797,0.2642364501953125
32,500,1.8096303939819336,2.0812971591949463,0.2716667652130127
4,500,9.626907348632812,9.90614414215088,0.2792367935180682
18,500,8.915261268615723,9.262024879455566,0.34676361083984375
35,500,1.6020262241363523,1.988031029701233,0.3860048055648806
29,500,2.1254773139953613,2.5460634231567383,0.42058610916137695
33,500,1.731503963470459,2.186594247817993,0.4550902843475342
20,500,8.50897216796875,8.98891830444336,0.4799461364746094
31,500,1.8623788356781008,2.4826955795288086,0.6203167438507078
27,500,2.58298134803772,3.2705769538879395,0.6875956058502193
15,500,9.154224395751951,9.914214134216309,0.7599897384643572
26,500,8.315605163574219,26.59387588500977,18.27827072143555
0,500,12.600011825561523,60.900787353515625,48.3007755279541
