,Rho,NS
0,99.6,48
1,99.62,50
2,99.64,66
3,99.66,57
4,99.68,57
5,99.7,64
6,99.72,63
7,99.74,59
8,99.76,55
9,99.78,52
10,99.8,53
11,99.82,51
12,99.84,51
13,99.86,44
14,99.88,46
15,99.9,34
16,99.92,34
17,99.94,31
18,99.96,34
19,99.98,38
20,100.0,33
21,100.02,40
22,100.04,40
23,100.06,41
24,100.08,38
25,100.1,46
26,100.12,30
27,100.14,39
28,100.16,35
29,100.18,41
30,100.2,43
31,100.22,39
32,100.24,36
33,100.26,33
34,100.28,40
35,100.3,46
36,100.32,41
37,100.34,38
38,100.36,44
39,100.38,35
40,100.4,28
41,100.42,41
42,100.44,36
43,100.46,41
44,100.48,36
45,100.5,41
46,100.52,38
47,100.54,39
48,100.56,38
49,100.58,42
50,100.6,45
51,100.62,39
52,100.64,44
53,100.66,41
54,100.68,44
55,100.7,27
56,100.72,47
57,100.74,41
58,100.76,37
59,100.78,45
60,100.8,38
61,100.82,81
62,100.84,91
63,100.86,153
64,100.88,124
65,100.9,144
66,100.92,136
67,100.94,137
68,100.96,108
69,100.98,143
70,101.0,128
71,101.02,131
72,101.04,118
73,101.06,127
74,101.08,142
75,101.1,119
76,101.12,136
77,101.14,147
78,101.16,132
79,101.18,132
80,101.2,124
81,101.22,110
82,101.24,138
83,101.26,140
84,101.28,139
85,101.3,134
86,101.32,131
87,101.34,132
88,101.36,141
89,101.38,121
90,101.4,125
91,101.42,126
92,101.44,128
93,101.46,127
94,101.48,133
95,101.5,137
96,101.52,134
97,101.54,153
98,101.56,155
99,101.58,131
100,101.6,141
101,101.62,131
102,101.64,127
103,101.66,138
104,101.68,124
105,101.7,146
106,101.72,141
107,101.74,128
108,101.76,142
109,101.78,141
110,101.8,133
111,101.82,140
112,101.84,138
113,101.86,145
114,101.88,141
115,101.9,141
116,101.92,153
117,101.94,136
118,101.96,127
119,101.98,139
120,102.0,126
